PERSON,Date,LOCATION 1,Latitude,Longitude
"Burnet, David",27 February 1688,Scotland,56.4907,4.2026
"Burnet, David",8 March 1688,Scotland,56.4907,4.2026
"Burnet, David",16 March 1688,Scotland,56.4907,4.2026
"Burnet, David",19 March 1688,Scotland,56.4907,4.2026
"Burnet, David",22 March 1688,"Holyroodhouse, Edinburgh",55.573,3.0924
"Burnet, David",24 March 1688,Scotland,56.4907,4.2026
"Burnet, David",28 March 1688,Edinburgh,55.95,-3.2
"Burnet, David",29 March 1688,Scotland,56.4907,4.2026
"Burnet, David",1 April 1688,Scotland,56.4907,4.2026
"Burnet, David",20 April 1688,Scotland,56.4907,4.2026
"Burnet, David",26 April 1688,Edinburgh,55.95,-3.2
"Burnet, David",27 April 1688,Scotland,56.4907,4.2026
"Burnet, David",4 May 1688,Scotland,56.4907,4.2026
"Burnet, David",6 May 1688,Scotland,56.4907,4.2026
"Burnet, David",11 May 1688,Scotland,56.4907,4.2026
"Burnet, David",19 May 1688,Edinburgh Castle,55.5636,3.1208
"Burnet, David",31 May 1688,Scotland,56.4907,4.2026
"Burnet, David",3 June 1688,Edinburgh,55.95,-3.2
"Burnet, David",7 June 1688,Scotland,56.4907,4.2026
"Burnet, David",13 June 1688,Scotland,56.4907,4.2026
"Burnet, David",16 July 1688,Edinburgh,55.95,-3.2
"Burnet, David",22 July 1688,Edinburgh,55.95,-3.2
"Burnet, David",30 July 1688,Edinburgh,55.95,-3.2
"Burnet, David",16 August 1688,Scotland,56.4907,4.2026
"Burnet, David",19 August 1688,Scotland,56.4907,4.2026
"Burnet, David",26 August 1688,Edinburgh,55.95,-3.2
"Burnet, David",2 September 1688,Edinburgh,55.95,-3.2
"Burnet, David",4 September 1688,Edinburgh,55.95,-3.2
"Burnet, David",12 September 1688,Scotland,56.4907,4.2026
"Burnet, David",5 October 1688,Scotland,56.4907,4.2026
"Burnet, David",15 October 1688,Scotland,56.4907,4.2026
"Burnet, David",11 November 1688,Edinburgh,55.95,-3.2
"Burnet, David",7 December 1688,Edinburgh,55.95,-3.2
"Burnet, David",10 December 1688,Scotland,56.4907,4.2026
"Burnet, David",27 May 1690,Dublin,53.3330556,-6.2488889
"Burnet, David",20 June 1690,Dublin,53.3330556,-6.2488889
"Burnet, David",14 August 1690,Paris,48.5109,2.2034
"Burnet, David",2 September 1690,Paris,48.5109,2.2034
"Burnet, David",2 September 1690,Scotland Low Countries,55.591,-3.2529
"Burnet, David",16 September 1690,Dunkirk,51.05,2.366667
"Burnet, David",21 January 1692,Scotland,56.4907,4.2026
"Burnet, David",26 February 1692,Scotland,56.4907,4.2026
"Burnet, David",31 October 1695,Enzie,-,-
"Burnet, John",21 August 1690,London,51.514125,-0.093689
"Burnett, Alexander",6 April 1668,Rome,41.5753,12.2708
Cadendo,6 December 1675,Padua,45.24,11.5307
"Cahassy, John",22 November 1687,Moidart,56.82,-5.696
"Cahassy, John",22 March 1688,Inverness,57.466667,-4.233333
"Cahassy, John",19 July 1688,Inverness,57.466667,-4.233333
"Campbell, Father Alexander",7 November 1674,Capranica,42.25,12.183333
"Campbell, Father Alexander",19 October 1680,Paris,48.5109,2.2034
"Campbell, Robert",9 June 1688,Rome,41.5753,12.2708
"Cararies, James",14 November 1679,Rome,41.5753,12.2708
"Cararies, James",18 December 1679,Rome,41.5753,12.2708
"Cararies, James",26 March 1680,Rome,41.5753,12.2708
"Cararies, James",3 April 1680,Douai,50.2509,3.1121
"Cararies, James",27 December 1680,Cambrai,-,-
"Cararies, James",5 March 1681,Douai,50.2509,3.1121
"Cararies, James",6 March 1681,Douai,50.2509,3.1121
Carnegy,24 December 1666,Paris,48.5109,2.2034
Carnegy,31 January 1699,Edinburgh,55.95,-3.2
Carnegy,4 February 1699,Edinburgh,55.95,-3.2
"Carolan, Patrick",20 November 1687,Havre de Grace,49.2702,0.0002
"Carolan, Patrick",5 January 1688,Edinburgh,55.95,-3.2
"Carolan, Patrick",2 September 1690,Scotland,56.4907,4.2026
"Carolo de Marinis, Father Hector",20 May 1671,Rome,41.5753,12.2708
"Carolo de Marinis, Father Hector",1 September 1671,Rome,41.5753,12.2708
"Carolo de Marinis, Father Hector",8 July 1672,Rome,41.5753,12.2708
Caussy,2 September 1690,Scotland,56.4907,4.2026
"Chalmers, Father Athanasius",27 December 1673,Rome,41.5753,12.2708
"Chalmers, Father Athanasius",18 April 1675,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",3 September 1676,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",9 September 1676,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",30 July 1680,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",20 September 1680,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",7 May 1681,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",12 August 1682,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",16 January 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",24 March 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",4 August 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",11 August 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",8 September 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",15 September 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",6 October 1683,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",30 June 1685,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",15 January 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",16 April 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",22 April 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",23 April 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",13 June 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",20 June 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",30 July 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",24 September 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",1 October 1687,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",27 January 1688,Subiaco,41.0509,13.0624
"Chalmers, Father Athanasius",21 May 1689,Subiaco,41.0509,13.0624
"Chanelliere, Gilbert",26 February 1678,Rome,41.5753,12.2708
"Cheyne, John",14 November 1687,London,51.514125,-0.093689
"Chrichton, Alexander",6 January 1697,Dunkirk,51.05,2.366667
Christie,18 December 1679,Rome,41.5753,12.2708
Christie,26 March 1680,Rome,41.5753,12.2708
"Christie, Father William",2 January 1660,Douai,50.2509,3.1121
"Christie, Father William",26 January 1660,Douai,50.2509,3.1121
"Christie, Father William",5 April 1660,Douai,50.2509,3.1121
"Christie, Father William",26 July 1660,Douai,50.2509,3.1121
"Christie, Father William",26 December 1660,Douai,50.2509,3.1121
"Christie, Father William",30 June 1661,Douai,50.2509,3.1121
"Christie, Father William",27 August 1661,Douai,50.2509,3.1121
"Christie, Father William",6 January 1663,Douai,50.2509,3.1121
"Christie, Father William",8 June 1665,Douai,50.2509,3.1121
"Christie, Patrick",26 April 1688,Edinburgh,55.95,-3.2
"Clair, Father",22 March 1685,Dunkirk,51.05,2.366667
"Clerk, James",8 November 1695,St Germain,46.912384,2.445217
"Clerk, Sir Robert",9 August 1689,Calais,44.97814,0.983075
"Clerk, Sir Robert",15 December 1691,London,51.514125,-0.093689
"Clerk, Sir Robert",22 December 1691,London,51.514125,-0.093689
"Coan, Cornelius",15 April 1687,Inverness,57.466667,-4.233333
"Coan, Cornelius",13 May 1687,"Gordon Castle, alias Bogue",57.3723,-3.0514
"Coan, Cornelius",4 July 1688,"Gordon Castle, alias Bogue",57.3723,-3.0514
"Coan, Cornelius",2 September 1690,Isle of Lewis,58.3546,-8.2437
"Codrington, Thomas",21 August 1689,St Germain,46.912384,2.445217
"Collinson, William",16 March 1665,London,51.514125,-0.093689
"Compigny, Pierre de",15 November 1694,Paris,48.5109,2.2034
"Compigny, Pierre de",29 November 1694,Paris,48.5109,2.2034
"Compigny, Pierre de",13 December 1694,Paris,48.5109,2.2034
"Compigny, Pierre de",30 December 1694,Paris,48.5109,2.2034
"Compigny, Pierre de",3 January 1695,Paris,48.5109,2.2034
"Compigny, Pierre de",10 January 1695,Paris,48.5109,2.2034
"Compigny, Pierre de",16 May 1695,Paris,48.5109,2.2034
"Compigny, Pierre de",12 November 1697,Paris,48.5109,2.2034
"Conne, Father Alexander",15 December 1669,Pars,-,-
"Conne, Father Alexander",1 July 1678,Paris,48.5109,2.2034
"Conne, Mrs.",26 June 1699,Paris,48.5109,2.2034
"Conne, Patrick",24 November 1660,Paris,48.5109,2.2034
"Conne, Patrick",6 May 1661,Paris,48.5109,2.2034
"Conne, Patrick",24 April 1662,London,51.514125,-0.093689
"Conne, Patrick",17 July 1662,London,51.514125,-0.093689
"Conne, Patrick",9 July 1666,Paris,48.5109,2.2034
"Conne, Patrick",23 July 1666,Paris,48.5109,2.2034
"Conne, Patrick",6 April 1672,Paris,48.5109,2.2034
"Conne, Patrick",12 August 1672,Paris,48.5109,2.2034
"Conne, Patrick",22 August 1672,Paris,48.5109,2.2034
"Conne, Patrick",7 October 1672,Paris,48.5109,2.2034
"Conne, Patrick",24 April 1674,Paris,48.5109,2.2034
"Conne, Patrick",28 July 1676,London,51.514125,-0.093689
"Conne, Patrick",10 April 1677,Paris,48.5109,2.2034
"Conne, Patrick",22 September 1679,Paris,48.5109,2.2034
"Conne, Patrick",21 November 1681,Paris,48.5109,2.2034
"Conne, Patrick",10 February 1683,Paris,48.5109,2.2034
"Conne, Patrick",9 March 1683,Paris,48.5109,2.2034
"Conne, Patrick",20 September 1683,Paris,48.5109,2.2034
"Conne, Patrick",10 December 1683,Paris,48.5109,2.2034
"Conne, Patrick",22 May 1684,Paris,48.5109,2.2034
"Conne, Patrick",23 September 1684,Paris,48.5109,2.2034
"Conne, Patrick",28 September 1687,London,51.514125,-0.093689
"Conne, Patrick",17 February 1688,London,51.514125,-0.093689
"Conne, Patrick",29 November 1688,London,51.514125,-0.093689
"Conne, Patrick",10 December 1688,London,51.514125,-0.093689
"Conne, Patrick",1 November 1689,Paris,48.5109,2.2034
"Conne, Patrick",16 November 1690,Paris,48.5109,2.2034
"Conne, Patrick",10 December 1690,Paris,48.5109,2.2034
"Conne, Patrick",12 December 1690,Paris,48.5109,2.2034
"Conne, Patrick",15 December 1692,Paris,48.5109,2.2034
"Conne, Patrick",8 May 1694,Paris,48.5109,2.2034
Conquest,17 June 1678,Paris,48.5109,2.2034
Conquest,7 August 1678,Paris,48.5109,2.2034
"Costa, Gregoria",8 January 1692,Rome,41.5753,12.2708
Crawford,27 February 1677,Venice,45.438611,12.326667
Crawford,27 March 1677,Venice,45.438611,12.326667
Crawford,25 November 1678,Scotland,56.4907,4.2026
"Crichton, Alex",20 June 1690,Scotland,56.4907,4.2026
"Crichton, Alex",2 September 1690,Scotland Low Countries,55.591,-3.2529
"Crichton, Alexander",3 August 1688,Huntly Castle,57.2744,2.4349
"Crichton, Alexander",13 July 1693,Paris,48.5109,2.2034
"Crichton, Alexander",17 August 1693,Paris,48.5109,2.2034
"Crichton, Alexander",26 October 1693,Paris,48.5109,2.2034
"Crichton, Alexander",5 April 1694,Paris,48.5109,2.2034
"Crichton, Alexander",29 September 1695,Dunkirk,51.05,2.366667
"Crichton, Alexander",24 September 1699,Dunkirk,51.05,2.366667
"Darian, Father Chilian",29 May 1680,Rome,41.5753,12.2708
"Davidson, Father Joseph",14 April 1675,"Umbria, Monastery of San Domenico, Citta di Castello",43.2715,12.1418
"Davidson, Father Joseph",20 October 1677,Rome,41.5753,12.2708
"Davidson, Father Joseph",1 January 1678,Rome,41.5753,12.2708
"Davidson, Robert",5 April 1660,Rome,41.5753,12.2708
"Davidson, Robert",16 August 1681,Havre de Grace,49.2702,0.0002
"Davidson, Robert",28 August 1681,Scotland,56.4907,4.2026
"Davidson, Robert",8 November 1681,Scotland,56.4907,4.2026
"Davidson, Robert",25 February 1683,Edinburgh,55.95,-3.2
"Davidson, Robert",13 May 1683,Edinburgh,55.95,-3.2
"Davidson, Robert",23 May 1683,Roslin,55.4934,-3.1149
"Davidson, Robert",26 July 1683,London,51.514125,-0.093689
"Davidson, Robert",22 September 1683,London,51.514125,-0.093689
"Davidson, Robert",26 March 1684,London,51.514125,-0.093689
"Davidson, Robert",10 May 1684,London,51.514125,-0.093689
"Davidson, Robert",9 December 1684,London,51.514125,-0.093689
