Date,Start Date,End Date,Origin City,Origin Latitude,Origin Longitude,Destination City,Destination Latitude,Destination Longitude,Sender,Recipient,Notes
1 May 1681,-79865,-79865,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Whyteford, Charles","Innes, Lewis",-
1 May 1683,-79135,-79135,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Gordon, George, Duke of Gordon/Marquess Huntly","Whyteford, Charles",Gordon alias Hyppons
1 May 1687,-77674,-77674,Montrose,56.7,-2.45,Paris,48.5109,2.2034,"Dixon, James","Whyteford, Charles",-
1 May 1689,-76943,-76943,St Quentin,48.617635,3.749137,Paris,48.5109,2.2034,"Leslie, George and Roberson","Innes, Lewis",-
1 November 1687,-77490,-77490,-,-,-,Paris,48.5109,2.2034,Talon,"Innes, Lewis",-
1 November 1689,-76759,-76759,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Conne, Patrick","Leslie, Don Gulielmo",-
1 October 1665,-85556,-85556,Douai,50.2509,3.1121,Stockholm,61.883056,13.75,"Maitland, Lewis","Maitland, Richard",-
1 October 1678,-80808,-80808,Urbino,43.716667,12.633333,-,-,-,"Leslie, Don Gulielmo",-,-
1 October 1680,-80077,-80077,Aboyne,57.083333,-2.833333,Paris,48.5109,2.2034,"Fordyne, Robert","Innes, Lewis",-
1 October 1687,-77521,-77521,Subiaco,41.0509,13.0624,Rome,41.5753,12.2708,"Chalmers, Father Athanasius","Leslie, Walter Lorenzo",-
1 October 1689,-76790,-76790,Dublin,53.3330556,-6.2488889,Paris,48.5109,2.2034,Nairne,"Innes, Lewis",-
1 October 1691,-76060,-76060,Calais,44.97814,0.983075,St Germain,46.912384,2.445217,"Thosse, Dr","Innes, Lewis",-
1 October 1691,-76060,-76060,Fochabers,57.616667,-3.083333,-,-,-,"Dunbar, Alexander","Brie, Monsieur","Dunbar alias, Peter Gray"
1 October 1697,-73868,-73868,Scotland,56.4907,4.2026,Rome,41.5753,12.2708,"Leslie, Alexander","Leslie, Don Gulielmo",-
1 September 1666,-85221,-85221,Freiburg,48,7.85,Rome,41.5753,12.2708,"Irvine, Father John","Talbot, Father Gilbert",-
1 September 1671,-83395,-83395,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Douglas, R","Carolo de Marinis, Father Hector",-
1 September 1683,-79012,-79012,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Dunbar, Alexander",-
1 September 1685,-78281,-78281,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
1 September 1687,-77551,-77551,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",-
1 September 1692,-75724,-75724,Bordeaux,44.840439,-0.5805,Paris,48.5109,2.2034,"Roberson, Amader","Innes, Lewis",-
1 September 1692,-75724,-75724,St Germain,46.912384,2.445217,Rome,41.5753,12.2708,"Melfort, Lord","Leslie, Don Gulielmo",-
2 April 1699,-73320,-73320,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"More, Father Alexander","Leslie, Don Gulielmo",-
2 December 1664,-85859,-85859,Milan,45.466667,9.2,Rome,41.5753,12.2708,"Ross, Thomas","Ross, Father",-
2 December 1680,-80015,-80015,Edinburgh,55.95,-3.2,Rome,41.5753,12.2708,"Leslie, Alexander","Leslie, Don Gulielmo",Leslie alias Hardboots
2 December 1684,-78554,-78554,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Davidson, Robert",-
2 December 1684,-78554,-78554,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
2 February 1683,-79223,-79223,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Jameson, John Paul","Innes, Lewis",-
2 February 1683,-79223,-79223,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Strachan, Robert Francis","Innes, Lewis",-
2 February 1692,-75936,-75936,Rome,41.5753,12.2708,-,-,-,"Leslie, Walter Lorenzo","Leslie, Father",-
2 January 1660,-87655,-87655,Douai,50.2509,3.1121,Rome,41.5753,12.2708,"Christie, Father William","Talbot, Father Gilbert",-
2 January 1678,-81080,-81080,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Gordon, George, Duke of Gordon/Marquess Huntly","Burnet, David",-
2 January 1693,-75601,-75601,Paris,48.5109,2.2034,St Germain,46.912384,2.445217,"Innes, Thomas","Innes, Lewis",-
2 July 1681,-79803,-79803,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Rian, Hugh","MacDonald, Angus",-
2 June 1681,-79833,-79833,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Hay, Andrew","Barclay, Robert",-
2 June 1683,-79103,-79103,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Gordon, George, Duke of Gordon/Marquess Huntly","Gordon alias, Hippons"
2 June 1684,-78737,-78737,Harwich,51.95,1.3,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
2 June 1684,-78737,-78737,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Jameson, John Paul","Whyteford, Charles",-
2 June 1693,-75450,-75450,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
2 March 1683,-79195,-79195,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Burnet, David and Gordon, George, Duke of Gordon/Marquess Huntly","Innes, Lewis",-
2 March 1684,-78829,-78829,Paris,48.5109,2.2034,St Quentin,48.617635,3.749137,"Innes, Lewis","Leslie, George",-
2 March 1688,-77368,-77368,Huntly Castle,57.2744,2.4349,Paris,48.5109,2.2034,"Jameson, John Paul","Whyteford, Charles",-
2 March 1690,-76638,-76638,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Gordon, Father Alexander","Leslie, Don Gulielmo",-
2 March 1690,-76638,-76638,Paris,48.5109,2.2034,-,-,-,"Leslie, Andrew","Leslie, Walter Lorenzo",-
2 May 1685,-78403,-78403,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Burnet, David",-
2 May 1685,-78403,-78403,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
2 May 1685,-78403,-78403,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Gordon, John",-
2 May 1685,-78403,-78403,Subiaco,41.0509,13.0624,Rome,41.5753,12.2708,"Perntio, GiambattiSanta","Leslie, Walter Lorenzo",-
2 May 1695,-74751,-74751,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo",-
2 November 1677,-81141,-81141,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Dunbar, Alexander",Winter,-
2 November 1684,-78584,-78584,Douai,50.2509,3.1121,Paris,48.5109,2.2034,"Innes, Father James","Whyteford, Charles",-
2 November 1693,-75297,-75297,St Germain,46.912384,2.445217,-,-,-,"Innes, Lewis",-,-
2 October 1679,-80442,-80442,Mechelen,51.033333,4.466667,Paris,48.5109,2.2034,"Dunbar, Alexander","Barclay, Robert",-
2 October 1679,-80442,-80442,Mechelen,51.033333,4.466667,Paris,48.5109,2.2034,"Dunbar, Alexander","Burnet, David",-
2 October 1680,-80076,-80076,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Irvine, John","Innes, Lewis",-
2 October 1687,-77520,-77520,Essex,51.833333,0.583333,Rome,41.5753,12.2708,"Strachan, Captain Thomas","Leslie, Don Gulielmo",-
2 October 1690,-76424,-76424,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Whyteford, Charles","Leslie, Walter Lorenzo",-
2 October 1694,-74963,-74963,-,-,-,Paris,48.5109,2.2034,"Wallace, John","Whyteford, Charles",Wallace alias J Cant
2 September 1681,-79741,-79741,-,-,-,Paris,48.5109,2.2034,"Hay, Father R, Abbot of St Jacques","Innes, Lewis",-
2 September 1684,-78645,-78645,London,51.514125,-0.093689,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
2 September 1687,-77550,-77550,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Innes, Walter","Whyteford, Charles",-
2 September 1688,-77184,-77184,Edinburgh,55.95,-3.2,-,-,-,"Burnet, David alias David Lawrence","Innes, Lewis",-
2 September 1688,-77184,-77184,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Howard, Cardinal Philip","Innes, Lewis",-
2 September 1690,-76454,-76454,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Burnet, David","Leslie, Don Gulielmo",-
3 April 1680,-80258,-80258,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Jameson, John Paul","Innes, Lewis",-
3 April 1688,-77336,-77336,Huntly Castle,57.2744,2.4349,Rome,41.5753,12.2708,"Jameson, John Paul and Strachan, Robert Francis","Leslie, Don Gulielmo",-
3 August 1662,-86711,-86711,Eccles,52.466667,0.966667,Rome,41.5753,12.2708,"Hebrune, Father John","Talbot, Father Gilbert",-
3 August 1667,-84885,-84885,"Lille, Urusline Convent",50.3925,3.0927,Rome,41.5753,12.2708,Soeur Marguerite de S. Francois Xavier,"Leslie, Father William Lewis",-
3 August 1678,-80867,-80867,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Dunbar, Alexander","Burnet, David",-
3 August 1685,-78310,-78310,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Burnet, David",-
3 August 1688,-77214,-77214,Huntly Castle,57.2744,2.4349,Paris,48.5109,2.2034,"Crichton, Alex","Whyteford, Charles",-
3 August 1693,-75388,-75388,Rome,41.5753,12.2708,Rome,41.5753,12.2708,"Leslie, Walter Lorenzo","Leslie, Father William Lewis",-
3 August 1694,-75023,-75023,Paris,48.5109,2.2034,Forges-les-Eaux,49.384,1.3245,"Wallace, John","Innes, Lewis",-
3 December 1681,-79649,-79649,Aberdeen,57.133333,-2.1,Paris,48.5109,2.2034,"Leslie, Alexander","Innes, Lewis",-
3 December 1691,-75997,-75997,Paris,48.5109,2.2034,-,-,-,"Thomson, James",Leslie,-
3 December 1697,-73805,-73805,Aberdeen,57.133333,-2.1,-,-,-,"Nicholson, Thomas",-,-
3 February 1679,-80683,-80683,Pesaro,43.9,12.916667,Rome,41.5753,12.2708,"Leslie, Don Gulielmo","Lazzini, Mariano",-
3 February 1679,-80683,-80683,Pesaro,43.9,12.916667,-,-,-,"Leslie, Don Gulielmo",-,-
3 February 1680,-80318,-80318,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Hay, Andrew","Barclay, Robert",-
3 February 1683,-79222,-79222,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Howard, Cardinal Philip","Whyteford, Charles",-
3 February 1685,-78491,-78491,Florence,43.766667,11.25,Rome,41.5753,12.2708,"Adamson, John","Leslie, Walter Lorenzo",-
3 February 1685,-78491,-78491,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis",Lord Chancellor,-
3 February 1688,-77396,-77396,London,51.514125,-0.093689,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
3 February 1693,-75569,-75569,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 January 1681,-79983,-79983,Elgin,57.65,-3.333333,-,-,-,"Burnet, David","""Mr. D.B. of Grisy""",Burnet alias David Lawrence
3 January 1684,-78888,-78888,Douai,50.2509,3.1121,Paris,48.5109,2.2034,"Leslie, William","Innes, Lewis",Abbot Leslie?
3 January 1684,-78888,-78888,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo",-
3 January 1684,-78888,-78888,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","McGhie, Father Andrew",-
3 January 1685,-78522,-78522,Paris,48.5109,2.2034,London,51.514125,-0.093689,"Innes, Lewis","Gordon, John",Gordon is a medical doctor
3 January 1688,-77427,-77427,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Innes, Lewis",-
3 January 1695,-74870,-74870,Rotterdam,51.916667,4.5,Paris,48.5109,2.2034,"Wallace, John","Compigny, Pierre de",Wallace alias J Paterson; expecting a letter from Tilden in Ratisbone; Compigny is a merchant
3 January 1695,-74870,-74870,St Germain,46.912384,2.445217,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo",-
3 July 1677,-81263,-81263,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Gordon, George, Duke of Gordon/Marquess Huntly, Marquess Huntly","Burnet, David",-
3 July 1683,-79072,-79072,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Burnet, David","Burnet alias, Mr Lawrence"
3 July 1683,-79072,-79072,Paris,48.5109,2.2034,Scotland,56.4907,4.2026,"Innes, Lewis","Gordon, George, Duke of Gordon/Marquess Huntly","Gordon alias, Hippons"
3 July 1689,-76880,-76880,Douai,50.2509,3.1121,Paris,48.5109,2.2034,"Innes, John","Innes, Lewis",-
3 June 1665,-85676,-85676,Vienna,48.13,16.2214,Rome,41.5753,12.2708,"Irvine, John","Talbot, Father Gilbert",-
3 June 1688,-77275,-77275,Montrose,56.7,-2.45,Edinburgh,55.95,-3.2,"Dixon, Palt?","Burnet, David",-
3 March 1681,-79924,-79924,Speyside,57.2758,-3.095,-,-,-,"Burnet, David and Whyteford, Charles",-,-
3 March 1687,-77733,-77733,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",-
3 March 1688,-77367,-77367,Aberdeen,57.133333,-2.1,Paris,48.5109,2.2034,"Strachan, Robert Francis","Whyteford, Charles",-
3 March 1688,-77367,-77367,London,51.514125,-0.093689,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
3 March 1690,-76637,-76637,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Whyteford, Charles","Leslie, Walter Lorenzo",-
3 March 1691,-76272,-76272,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 March 1692,-75906,-75906,-,-,-,St Germain,46.912384,2.445217,"Nicolson, Thomas","Innes, Lewis",-
3 March 1693,-75541,-75541,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 March 1698,-73715,-73715,St Germain,46.912384,2.445217,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo","bishop Nicolson has 3 or 4 Highland youths ready to be sent, just waiting on viaticum"
3 March 1699,-73350,-73350,Aberdeen,57.133333,-2.1,-,-,-,"Nicholson, Thomas",-,alias: Thomas Bruce
3 May 1675,-82055,-82055,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Fontaine, Charles","Leslie, Don Gulielmo",-
3 May 1679,-80594,-80594,-,-,-,Rome,41.5753,12.2708,"McGhie, Father Andrew","Leslie, Don Gulielmo",-
3 May 1687,-77672,-77672,London,51.514125,-0.093689,Rome,41.5753,12.2708,Scott,"Leslie, Walter Lorenzo",-
3 May 1692,-75845,-75845,Venice,45.438611,12.326667,Rome,41.5753,12.2708,"Murray, G","Leslie, Lorenzo",-
3 November 1693,-75296,-75296,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 November 1699,-73105,-73105,Rome,41.5753,12.2708,-,-,-,"Gordon, George, Duke of Gordon/Marquess Huntly",-,-
3 November 1699,-73105,-73105,Scotland,56.4907,4.2026,-,-,-,"Donaldson, James",-,-
3 October 1676,-81536,-81536,-,-,-,Rome,41.5753,12.2708,"Talbot, Father","Leslie, Don Gulielmo",-
3 October 1679,-80441,-80441,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Whyteford, Charles","Innes, Lewis",-
3 October 1684,-78614,-78614,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",Burnet alias David Lawrence
3 September 1676,-81566,-81566,Subiaco,41.0509,13.0624,-,-,-,"Chalmers, Father Athanasius",-,-
4 August 1680,-80135,-80135,Amsterdam,52.35,4.916667,Paris,48.5109,2.2034,"Burnet, David alias David Lawrence","Innes, Lewis and Barclay, Robert",-
4 August 1683,-79040,-79040,Subiaco,41.0509,13.0624,Rome,41.5753,12.2708,"Chalmers, Father Athanasius","Leslie, Don Gulielmo",-
4 August 1694,-75022,-75022,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Whyteford, Charles",-
4 February 1681,-79951,-79951,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Jameson, John Paul","Innes, Lewis",-
4 February 1683,-79221,-79221,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Innes, Walter","Innes, Lewis",-
4 January 1687,-77791,-77791,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Perth, Lady",-
4 July 1688,-77244,-77244,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Coan, Cornelius",Talon,-
4 July 1689,-76879,-76879,Cadiz,36.515789,-6.279692,-,-,-,"Blackadder, John",-,-
4 July 1693,-75418,-75418,Lyon,45.748457,4.846711,Rome,41.5753,12.2708,"Sleyne, John Baptist, Bishop of Cork","Leslie, Lorenzo",-
4 July 1693,-75418,-75418,-,-,-,St Germain,46.912384,2.445217,"Gordon, Charles Earl of Aboyne","Innes, Lewis",-
4 June 1678,-80927,-80927,Rome,41.5753,12.2708,Pesaro,43.9,12.916667,"Mouat, James","Leslie, Don Gulielmo",-
4 June 1688,-77274,-77274,Glastirim,57.313,2.464,Paris,48.5109,2.2034,"Gordon, Patrick","Whyteford, Charles",-
4 June 1691,-76179,-76179,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
4 March 1675,-82115,-82115,-,-,-,Rome,41.5753,12.2708,"Dunbar, Alexander","Leslie, Don Gulielmo",Dunbar alias A. Winster
4 March 1688,-77366,-77366,Rome,41.5753,12.2708,-,-,-,"Leslie, Don Gulielmo","Melfort, Lord",-
4 March 1692,-75905,-75905,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
4 March 1695,-74810,-74810,Edinburgh,55.95,-3.2,-,-,-,"Irvine, John",-,-
4 May 1678,-80958,-80958,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Irvine, John","Barclay, Robert",-
4 May 1684,-78766,-78766,Calais,44.97814,0.983075,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
4 May 1688,-77305,-77305,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",-
4 May 1693,-75479,-75479,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Innes, Lewis",-
4 October 1666,-85188,-85188,Turin,45.05,7.666667,Rome,41.5753,12.2708,"Howard, Cardinal Philip","Leslie, Father William Lewis",-
4 October 1684,-78613,-78613,"Gordon Castle, alias Bogue",57.3723,-3.0514,London,51.514125,-0.093689,"Irvine, John","Innes, Lewis","Irvine alias, Cabrach"
4 October 1687,-77518,-77518,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",-
4 October 1687,-77518,-77518,St Fiacre,48.5617,2.5746,Rome,41.5753,12.2708,"Innes, Walter","Leslie, Walter Lorenzo",-
4 October 1693,-75326,-75326,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
4 September 1683,-79009,-79009,Paris,48.5109,2.2034,Meldrum,57.2136,-2.2948,"Innes, Lewis","Meldrum, Lady Mary Urquhart",-
4 September 1688,-77182,-77182,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Burnet, David alias David Lawrence","Whyteford, Charles",-
5 April 1660,-87561,-87561,Douai,50.2509,3.1121,Rome,41.5753,12.2708,"Christie, Father William","Dempster, Father Francis",-
5 April 1679,-80622,-80622,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Whyteford, Charles","Innes, Lewis",-
5 April 1680,-80256,-80256,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Dunbar, Alexander","Barclay, Robert",-
5 April 1692,-75873,-75873,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Gordon, Father Alexander","Leslie, Walter Lorenzo",-
5 April 1694,-75143,-75143,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Crichton, Alex","Leslie, Don Gulielmo",-
5 August 1664,-85978,-85978,-,-,-,Rome,41.5753,12.2708,"McGhie, Father Andrew","Talbot, Father Gilbert",-
5 August 1681,-79769,-79769,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Dunbar, Alexander","Innes, Lewis",-
5 August 1685,-78308,-78308,Paris,48.5109,2.2034,Dieppe,49.920403,1.086542,"Innes, Lewis",Meldrum,-
5 August 1690,-76482,-76482,Venice,45.438611,12.326667,Rome,41.5753,12.2708,"Leslie, Abbot William","Leslie, Don Gulielmo",-
5 December 1684,-78551,-78551,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","Howard, Cardinal Philip",-
5 December 1684,-78551,-78551,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo",-
5 December 1685,-78186,-78186,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
5 February 1681,-79950,-79950,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Irvine, John","Barclay, Robert",-
5 February 1681,-79950,-79950,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Alexander and Innes, Walter","Innes, Lewis",Leslie alias Hardboots
5 February 1683,-79220,-79220,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Innes, Lewis",-
5 February 1688,-77394,-77394,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Perth, Lord","Whyteford, Charles",-
5 February 1688,-77394,-77394,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
5 February 1692,-75933,-75933,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Walter Lorenzo","Whyteford, Charles",-
5 January 1677,-81442,-81442,Edinburgh,55.95,-3.2,-,-,-,"Gordon, George, Duke of Gordon/Marquess Huntly",-,-
5 January 1680,-80347,-80347,St Quentin,48.617635,3.749137,Paris,48.5109,2.2034,"Leslie, George","Barclay, Robert",-
5 January 1685,-78520,-78520,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Gordon, Duchess Elizabeth",-
5 January 1688,-77425,-77425,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Carolan, Patrick and Trener, John",Talon,-
5 January 1688,-77425,-77425,Montrose,56.7,-2.45,Paris,48.5109,2.2034,"Dixon, James","Whyteford, Charles",-
5 July 1677,-81261,-81261,Edinburgh,55.95,-3.2,-,-,-,"Dunbar, Alexander",-,-
5 July 1687,-77609,-77609,"Holyroodhouse, Edinburgh",55.573,3.0924,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
5 June 1696,-74351,-74351,Ratisbone,49.0118,12.0536,Rome,41.5753,12.2708,"Fleming, Abbot Placidus",-,-
5 March 1675,-82114,-82114,Padua,45.24,11.5307,Rome,41.5753,12.2708,"Irvine, Christopher","Leslie, Don Gulielmo",-
5 March 1677,-81383,-81383,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Jolly, Mr.","Leslie, Don Gulielmo",-
5 March 1678,-81018,-81018,Rome,41.5753,12.2708,Pesaro,43.9,12.916667,"Zambechini, Giuseppe","Leslie, Don Gulielmo",-
5 March 1681,-79922,-79922,Douai,50.2509,3.1121,Paris,48.5109,2.2034,"Cararies, James","Innes, Lewis",-
5 May 1662,-86801,-86801,Padua,45.24,11.5307,Rome,41.5753,12.2708,"Howard, B","Leslie, Don Gulielmo",Bishop of Arundel
5 May 1681,-79861,-79861,Edinburgh,55.95,-3.2,-,-,-,"Dunbar, Alexander",-,-
5 November 1683,-78947,-78947,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Innes, Lewis","Leslie, Don Gulielmo",-
