PERSON,Date,LOCATION 1,Latitude,Longitude,NOTES
"Burnet, David",15 April 1687,Inverness,57.466667,-4.233333,-
"Burnet, David",1 June 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",28 June 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 July 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",26 July 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",23 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",29 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",1 September 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",19 September 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",4 October 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",8 November 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",22 November 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",10 December 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",11 January 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 January 1688,Scotland,56.4907,4.2026,-
"Burnet, David",8 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",24 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",27 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",8 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",16 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",22 March 1688,"Holyroodhouse, Edinburgh",55.573,3.0924,-
"Burnet, David",24 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",28 March 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",29 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",1 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",20 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 April 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",27 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",4 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",6 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",11 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 May 1688,Edinburgh Castle,55.5636,3.1208,-
"Burnet, David",31 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",3 June 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",7 June 1688,Scotland,56.4907,4.2026,-
"Burnet, David",13 June 1688,Scotland,56.4907,4.2026,-
"Burnet, David",16 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",22 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",30 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",16 August 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 August 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 August 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",2 September 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",4 September 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",12 September 1688,Scotland,56.4907,4.2026,-
"Burnet, David",5 October 1688,Scotland,56.4907,4.2026,-
"Burnet, David",15 October 1688,Scotland,56.4907,4.2026,-
"Burnet, David",11 November 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",7 December 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",10 December 1688,Scotland,56.4907,4.2026,-
"Burnet, David",27 May 1690,Dublin,53.3330556,-6.2488889,-
"Burnet, David",20 June 1690,Dublin,53.3330556,-6.2488889,-
"Burnet, David",14 August 1690,Paris,48.5109,2.2034,-
"Burnet, David",2 September 1690,Paris,48.5109,2.2034,-
"Burnet, David",2 September 1690,Scotland Low Countries,55.591,-3.2529,-
"Burnet, David",16 September 1690,Dunkirk,51.05,2.366667,-
"Burnet, David",21 January 1692,Scotland,56.4907,4.2026,-
"Burnet, David",26 February 1692,Scotland,56.4907,4.2026,-
